page_url,title,content
https://ideam.ie,IDEAM Research Institute | IDEAM,"Tuition WaiverFee Waiver Valued at €5,500. Bachelor’s, Master’s degree or PhD students and graduates, or industry professionals with experience in a related area.– Must be a passport holder from an EU Member State or one of the following associated countries: Albania, Bosnia and Herzegovina, EEA countries (Iceland, Norway, Liechtenstein), Kosovo, Moldova, Montenegro, North Macedonia, Serbia, Türkiye, or Ukraine.– Requires certified evidence of English skills (unless a native speaker), specifically: IELTS score of 6.5TOEFL iBT score of 90. Tuition WaiverFee Waiver Valued at €5,500. Successful applicants will be eligible for a fee-waiver and a partial stipend of €1,000 per month, for eighteen (18) months or up until the end of the DigiWind project in December 2027. It is envisaged that up to five scholarships will be awarded. The successful candidates will be based at the TUS Campus in Limerick, Ireland studying in-person with access to online classes. Tuition WaiverFee Waiver Valued at €5,500. A recognised master’s qualification based on advanced, completed research.– In-demand skills, based on industry-based input.– A recognised qualification to enhance your future career.– A foundation for technical and scientific excellence, with opportunities to publish your work.– Potential future PhD studies. Tuition WaiverFee Waiver Valued at €5,500. The Irish Design Engineering and Advanced Manufacturing (IDEAM) Research Institute, led by Dr John Cosgrove, is focused on the research and development of data-driven solutions for Industry. With core expertise in Engineering, Energy, Electronics, Informatics and Manufacturing, IDEAM is a comprehensive, multi-disciplinary institute focused on the development of excellence in research, collaborative research projects and regional training & skills that can deliver impactful research and innovation.The Research Institute has an extensive industry support base across Ireland, is currently collaborating on 24 industry-based research projects, and is directly supported by a strong ecosystem of 65 actively engaged companies who have contributed to the definition and growth of this research area. Discover why leading researchers and industry partners choose IDEAM Research Institute to advance innovation - from groundbreaking studies to global impact. The IDEAM Research Institute proudly showcases its impact through measurable achievements. With over €15 million in annual research funding, we drive transformative advancements in science and technology. Our 150+ impactful projects span diverse fields, collaborating with over 100 trusted industry partners and leading researchers.Through 65+ high-quality publications in renowned journals and conferences, we ensure our research contributes to global innovation and knowledge-sharing. Explore how our collaborative efforts and cutting-edge initiatives are shaping the future across industries. IDEAM Research Institute Supports. Innovating for a better future. IDEAM Research Institute Supports. Empowering the next generation. IDEAM Research Institute Supports. Expert guidance for your challenges. IDEAM Research Institute Supports. Supporting innovation and research. IDEAM Research Institute Supports. IDEAM Institute pioneers innovative research in science and technology. We collaborate with academic, industry, and government partners to develop groundbreaking solutions, led by our dedicated multidisciplinary teams. IDEAM Research Institute Supports. We offer PhD, Masters, and Certificate programs to cultivate future professionals. Our hands-on workshops, seminars, and apprenticeships provide real-world experience and expert knowledge sharing."
https://ideam.ie,IDEAM Research Institute | IDEAM,"IDEAM Research Institute Supports. IDEAM provides expert support in data analytics, biotechnology, and environmental science. We deliver customised solutions and form strategic partnerships to drive mutual innovation and success. IDEAM Research Institute Supports. We assist in securing research funding with grant writing support and financial backing for innovative projects. Our scholarships and fellowships support students and early-career researchers. Case Study - Digitalisation Journey​. Explore our Digitalisation Case Studies Showcasing how Businesses are Leveraging Technology to Innovatr and Drive Efficiency Case Study - Digitalisation Journey​. IDEAM Cluster Moylish, Campus, Co. Limerick, V94 E8YF Case Study - Digitalisation Journey​. Coonagh Cross, Ennis Rd, Clondrinagh, Limerick, V94 TW71, Ireland Case Study - Digitalisation Journey​. Together we can make a real difference. Case Study - Digitalisation Journey​. Grow your business through our membership benefits."
https://ideam.ie/ideam-institute/about-us/,About Us | IDEAM,"Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Meet the brilliant minds behind IDEAM Research Institute. Our team comprises dedicated researchers, scientists, and professionals who are passionate about making a difference. Their expertise, creativity, and commitment drive our research initiatives and contribute to our success. Get to know the people who make IDEAM a leader in innovation. Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Director of Smart Manufacturing at TUS- IDEAM Institute Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Researcher Manufacturing, Automation and Robotics Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Smarter factory Gateway Manager Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Lean and Digitalisation Advisor Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Researcher in Industrial Data Analytics Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. IDEAM Institute is a premier research organisation dedicated to driving innovation and advancing knowledge across various scientific fields. Through our collaborative and interdisciplinary approach, we strive to address the world’s most pressing challenges and create impactful solutions."
https://ideam.ie/ideam-institute/about-us/,About Us | IDEAM,"Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Our Mission At IDEAM Institute, our mission is to drive scientific innovation and technological advancements through collaborative research. We are committed to addressing the world's most pressing challenges by fostering a culture of curiosity, excellence, and sustainability. Our work aims to improve the quality of life and create a better future for generations to come. Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. At IDEAM Institute, our mission is to drive scientific innovation and technological advancements through collaborative research. We are committed to addressing the world's most pressing challenges by fostering a culture of curiosity, excellence, and sustainability. Our work aims to improve the quality of life and create a better future for generations to come. Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Our Vision Our vision is to be a global leader in research and innovation, recognized for our contributions to science, technology, and society. We strive to create an environment where researchers can thrive, ideas can flourish, and impactful solutions can be developed. Through our efforts, we aim to inspire future generations of scientists and innovators. Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. Our vision is to be a global leader in research and innovation, recognized for our contributions to science, technology, and society. We strive to create an environment where researchers can thrive, ideas can flourish, and impactful solutions can be developed. Through our efforts, we aim to inspire future generations of scientists and innovators."
https://ideam.ie/ideam-institute/about-us/,About Us | IDEAM,"Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. We are always looking for passionate and talented individuals to join our team. Whether you are a researcher, student, or professional, IDEAM Institute offers a dynamic and supportive environment where you can grow and make a difference. Explore our career opportunities and become part of our innovative journey. Welcome to IDEAM Institute, where innovation meets collaboration. We are a leading research organization dedicated to pioneering discoveries and developing technologies that address critical global challenges. Our mission is to advance knowledge and create solutions that benefit society and the environment. Explore our journey, values, and the impact we make through our interdisciplinary research efforts.. IDEAM Cluster Moylish, Campus, Co. Limerick, V94 E8YF"
https://ideam.ie/ideam-institute/resources/publications-and-reports/,Publications And Reports | IDEAM,"Our vision is for Irish-based enterprise to succeed through competitive advantage founded on sustainability, innovation and productivity, delivering rewarding jobs and livelihoods The Circular Economy Programme 2021-2027. This document outlines Ireland’s The Circular Economy Programme which will be led by the Environmental Protection Agency (EPA). The Circular Economy Programme incorporates and builds upon the previous National Waste Prevention Programme1 to support national-level, strategic programmes to prevent waste and drive the Circular Economy in Ireland. The development of the Circular Economy Programme responds to the commitment within the national policy document The Waste Action Plan for a Circular Economy to reconfigure the National Waste Prevention Programme into Ireland’s The Circular Economy Programme."
https://ideam.ie/ideam-cluster/,IDEAM | Irish Digital Engineering And Advanced Manufacturing Cluster,"IDEAM Cluster is an innovative national industry cluster located in the heart of the Mid-West region of Ireland supporting businesses to collaborate, innovate and grow. We aim to prepare those organisations for opportunities in digitalisation and green transition of manufacturing. The core needs of SMEs are at the heart of our cluster strategy acting as a ‘one-stop-shop’ to ignite the exponential growth of manufacturing SMEs. Our core vision is to unlock new collaborative opportunities for our members by working together and building trust. Explore What We Are Doing Better. Our Vision Mission and Ambition"
https://ideam.ie/ideam-cluster/ideam-members/become-a-member/,Become A Member | IDEAM,"*VAT is applicable to Membership **Staff Headcount is based on a company’s global headcount, not only Irish operations We aim to promote a high degree of competitiveness, productivity and internationalisation in the digitalisation and sustainable growth of manufacturing SMEs, contributing to the economic growth of Ireland. IDEAM assists manufacturing SMEs in digital transformation and our core goal is to unlock new opportunities for industry by working collaboratively. Opportunity to attend knowledge-building events such as strategic working groups, seminars, etc. Direct access to upcoming talent initiatives such as training programmes, workshops, etc. Provide the potential for sourcing talent and specific resources for your organisation Opportunity to participate in industry-generated innovation projects, to solve advanced manufacturing challenges Closer links and engagement with industry and research institutions Potential cost-savings via shared test facilities, R&D infrastructure and internal research expertise, shared expertise etc. INTERNATIONALISATION & FUNDING. Access to national and international funding mechanisms as well as funding application support INTERNATIONALISATION & FUNDING. Potential access to opportunities in other projects and markets for exporting opportunities INTERNATIONALISATION & FUNDING. Interaction and collaboration with other similar clusters and their members on a national and international scale BUSINESS & COMMUNITY DEVELOPMENT. A platform for members to engage with one another on advanced manufacturing technologies and industry updates BUSINESS & COMMUNITY DEVELOPMENT. Access to industry case studies, white papers and webinars BUSINESS & COMMUNITY DEVELOPMENT. Access to community-building events such as conferences, exhibitions, matchmaking and other collaborative networking activities"
https://ideam.ie/training-support/,Cluster Member Training Support | IDEAM,"Training & Upskilling Opportunities. IDEAM Industry Cluster and its members provide a range of bespoke high-quality training programmes to help Irish manufacturers embrace digital transformation, sustainability, and innovation. Explore upcoming workshops, online modules, and expert-led sessions below. Symetri Empowering Irish Industry Through Expert Training. This comprehensive online course covers AutoCAD basics over 4 x 2.5-hour sessions , helping candidates confidently use its tools to create and manage architectural or engineering drawings. Ready to advance your skills? Enrol in a course today or request further information.. These are a few of Symetri’s Autodesk courses. Visit their website to explore more training options, including customised company sessions"
https://ideam.ie/smarter-factory-home-page/,Smarter Factory Tech Gateway | IDEAM,"The Smarter Factory Technology Gateway Programme is co-financed by the Government of Ireland and the European Union through the ERDF Southern, Eastern & Midland Regional Programme 2021-2027. Supporting Irish Manufacturing Excellence. Empowering manufacturers across all industries with cutting-edge automation and digital solutions About Smarter Factory Technology Gateway. The Smarter Factory Technology Gateway is an Irish Government-EU co-funded industry-facing organisation within the Technological University of the Shannon (TUS) and IDEAM Research Institute. We support Irish manufacturers across all industries including pharmaceuticals, life sciences, food, beverage, electronics, discrete manufacturing, and many others. Part of the Enterprise Ireland Technology Gateway Network"
https://ideam.ie/smarter-factory-home-page/research-services/,Research Services | IDEAM,"The Smarter Factory Technology Gateway Programme is co-financed by the Government of Ireland and the European Union through the ERDF Southern, Eastern & Midland Regional Programme 2021-2027. The Smarter Factory provides comprehensive industry support through three main approaches We provide customized training modules for manufacturers’ employees, enabling upskilling through collaborative ‘on-the-project’ research with our team. Multiple automation interconnected systems mimic real-world scenarios for comprehensive testing."
